,ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher
176971,0671561243,"The Vikings Revenge Hardy Boys Casefiles 124 (Hardy Boys Casefiles , No 124)",Franklin W. Dixon,1997,Simon Pulse
176974,0671504622,"Cave Trap: Hardy Boys Casefiles #115 (Hardy Boys, The)",Franklin W. Dixon,1996,Simon Pulse
176996,0671677659,"Cheating Hearts: River Heights #7 (River Heights, No 7)",Carolyn Keene,1990,Simon Pulse
177132,0440175526,Sad Cypress,Agatha Christie,1970,Dell Publishing
177409,0833511009,Four Tragedies: Hamlet/Othello/King Lear/Macbeth (Bantam Classics),William Shakespeare,1999,Sagebrush Bound
177478,0345452011,Garfield Eats Crow (Garfield),Jim Davis,2003,Ballantine Books
177532,0192816098,David Copperfield (World'S Classics),Charles Dickens,1983,Oxford University Press
177537,0416194303,Much Ado About Nothing (The Arden Shakespeare),William Shakespeare,1981,Methuen
177539,0416178006,"The Taming Of The Shrew (Shakespeare, William, Works.)",William Shakespeare,1982,Routledge
177578,0618084835,"Sense And Sensibility: Complete Text With Introduction, Historical Contexts, Critical Essays (New Riverside Editions)",Jane Austen,2001,Houghton Mifflin Company
177630,8427285035,Asesinato En El Campo De Golf,Agatha Christie,1997,AIMS International Books
177650,0762401141,"The Adventures Of Tom Sawyer And The Adventures Of Huckleberry Finn: And, The Adventures Of Huckleberry Finn (Gaint Literary Classics)",Mark Twain,1997,Courage Books
177887,1572702516,And Then There Were None (Audio Editions Mystery Masters),Agatha Christie,2001,Audio Partners
178010,3453123840,Schwarz. Der Dunkle Turm.,Stephen King,1997,Heyne
178166,0006922066,The Secret Of The Golden Pavilion (Nancy Drew Mysteries),Carolyn Keene,1983,HarperCollins Publishers
178269,014031492X,George'S Marvellous Medicine (Puffin Books),Roald Dahl,1982,Puffin Books
178274,0553472151,Murder On The Orient Express (Bbc Radio Presents),Agatha Christie,1993,Random House Audio Publishing Group
178290,0671700391,"Last Laugh: Hardy Boys Casefiles #42 (Hardy Boys Casefiles, No 42)",Franklin W. Dixon,1990,Simon Pulse
178306,0671529463,Eye Of The Fortuneteller (Ghosts Of Fear Street 6),R. L. Stine,1996,Aladdin
178313,0553525018,The Silmarillion (Silmarillion),J. R. R. Tolkien,1998,Random House Audio Publishing Group
178339,0671001906,House Of A Thousand Screams R L Stines Ghost Of (Ghosts Of Fear Street),R. L. Stine,1997,Aladdin
178356,0375404376,Timeline- Unabridged,Michael Crichton,1999,Random House Audio
178368,0886460905,Murder In The Mews,Agatha Christie,1985,DH Audio
178583,1402541805,The No.1 Ladies' Detective Agency,Alexander McCall Smith,2003,Recorded Books
178726,0671047892,Before I Say Good Bye Unabridged Unabridged,Mary Higgins Clark,2000,Simon &amp; Schuster Audio
178751,067158037X,Angela'S Ashes (Audio Cassette),Frank McCourt,1997,Simon &amp; Schuster Audio
178928,1556561202,Isaac Asimov Presents: Favorite Robot Stories From His Private Library,Isaac Asimov,1989,Associated Pub Group
179087,067142212X,Murder Orient Exps,Agatha Christie,1980,Pocket
179173,034545328X,Xanth: The Quest For Magic,Piers Anthony,2002,Del Rey Books
179183,0140431039,Selected Short Fiction (Penguin English Library),Charles Dickens,1976,Penguin Books
179304,0582527465,King Lear (Rei),William Shakespeare,1990,Longman Group United Kingdom
179405,0813801672,Just Beyond The Firelight,Robert James Waller,1990,Blackwell Pub Professional
179478,0575055030,Men At Arms (The Discworld Series),Terry Pratchett,1993,Gollancz
179574,0552140171,Colour Of Magic,Terry Pratchett,1993,Trafalgar Square
179803,1853260797,The Taming Of The Shrew,William Shakespeare,1999,Wordsworth Editions Ltd
179833,1558747117,"Chicken Soup For The Cat And Dog Lover'S Soul : Celebrating Pets As Family With Stories About Cats, Dogs And Other Critters (Chicken Soup For The Soul)",Jack Canfield,1999,Health Communications
179896,2702413390,Drame En Trois Actes,Agatha Christie,2003,Librairie des Champs-ElysÃ?Â©es
179937,0553492705,"Summer Of Love (Sweet Valley University, 50)",Francine Pascal,1999,Sweet Valley
179963,0553267884,"Forever And Always (Catlin Forever Trilogy, No 2)",Francine Pascal,1988,Starfire
179965,0553267000,"Dreams Of Forever (Forever Trilogy,No 1)",Francine Pascal,1987,Starfire
180071,0671724126,Anastasia Syndrome (Export),Mary Higgins Clark,1990,Pocket
180110,0373033370,"Only Solution (Harlequin Romance, No 3337)",Fern Michaels,1994,Harlequin
180205,0140436081,A Tramp Abroad (Penguin Classics),Mark Twain,1997,Penguin Books
180224,2266083481,Memnoch Le Demon,Anne Rice,1998,Pocket
180229,0689855974,The Case Of The Psychic'S Vision,Franklin W. Dixon,2003,Aladdin Library
180257,8449500400,Fantasma De Canterville Y Otros Cuentos,Oscar Wilde,1998,Mateos Ediciones
180304,0140435468,Dombey And Son (Penguin Classics),Charles Dickens,2002,Penguin Books
180332,0312855648,"Isle Of Woman (Geodyssey, Vol 1)",Piers Anthony,1993,St Martins Pr
180338,0804109753,Nora,Diana Palmer,1994,Ivy Books
180350,3453162803,Das Licht Der Phantasie. Ein Roman Von Der Bizarren Scheibenwelt.,Terry Pratchett,1999,Heyne
180400,0671527541,Getting Closer (Nancy Drew On Campus 8) : Getting Closer,Carolyn Keene,1996,Simon Pulse
180402,0671527584,Party Weekend Nancy Drew On Campus 10 (Nancy Drew On Campus),Carolyn Keene,1996,Simon Pulse
180410,1583488227,La Importancia De Llamarse Ernesto (Alba),Oscar Wilde,1999,iUniverse
180444,0671882015,Hidden Meanings (Nancy Drew Files 110) : Hidden Meanings (Nancy Drew Files (Paperback)),Carolyn Keene,1995,Simon Pulse
180456,2266064886,L' Affaire Pelican,John Grisham,1995,Pocket
180501,0399136614,"Virtual Mode (Virtual Mode Series, Book 1)",Piers Anthony,1991,Putnam Pub Group
180647,0198319266,A Midsummer-Night'S Dream (The New Clarendon Shakespeare),William Shakespeare,1939,Oxford Univ Pr
180666,0590525212,"Karen'S Easter Parade (Baby-Sitters Little Sister, 120)",Ann M. Martin,2000,Scholastic
180670,0886776015,Snows Of Darkover,Marion Zimmer Bradley,1994,Daw Books
180672,0886775531,Towers Of Darkover,Marion Zimmer Bradley,1993,Daw Books
180686,0886774233,Sword And Sorceress Vi: An Anthology Of Heroic Fantasy,Marion Zimmer Bradley,1990,New Amer Library
180687,0451524403,The Signet Classic Book Of Mark Twain'S Short Stories,Mark Twain,1989,Signet Classics
180689,0886774861,"Sword And Sorceress Viii: An Anthology Of Heroic Fantasy (Daw Book Collectors :, No. 859)",Marion Zimmer Bradley,1991,New Amer Library
180822,3453196015,Vergiss Die Toten Nicht.,Mary Higgins Clark,2002,Heyne
180827,0373033214,"Early Harvest (Harlequin Romance, No 3321)",Mary Higgins Clark,1994,Harlequin
181023,1561007862,Homeport (Bookcassette(R) Edition),Nora Roberts,1998,Bookcassette
181028,1561007293,Sanctuary (Bookcassette(R) Edition),Nora Roberts,1997,Bookcassette
181062,0590436473,"Karen'S Wish (Baby-Sitters Little Sister Super Special, 1)",Ann M. Martin,1993,Scholastic
181112,067100851X,Field Of Screams (Ghosts Of Fear Street #22),R. L. Stine,1997,Aladdin
181161,0373611781,"Black Hand -- Executioner #178 (Mack Bolan : The Executioner, No 178)",Don Pendleton,1993,Gold Eagle
181296,0373052308,The Tender Stranger (Silhouette Desire No 230),Diana Palmer,1985,Silhouette
181303,0373057156,"Case Of The Confirmed Bachelor (Silhouette Desire, No. 715)",Diana Palmer,1992,Silhouette
181304,0373057334,"Case Of The Missing Secretary (Silhouette Desire, No 5733)",Diana Palmer,1992,Silhouette
181323,5556053901,Secret Adversary,Agatha Christie,1993,Berkley Publishing Group
181326,0451200209,The Thirteen Problems (Miss Marple Mysteries (Paperback)),Agatha Christie,2004,Signet Book
181331,0373088434,"Donavan (Long, Tall Texans)",Diana Palmer,1991,Silhouette
181355,0445203366,Coral Kiss,Jayne Ann Krentz,1987,Warner Books
181400,0373870612,Blind Promises (Love Inspired),Diana Palmer,1999,Steeple Hill
181415,0613034813,The Lottery Winner,Mary Higgins Clark,1999,Sagebrush Bound
181455,0449236536,Best Of I Asimov,Isaac Asimov,1981,Fawcett Books
181507,0515032395,A Halo For The Devil (#55),Barbara Cartland,1973,Pyramid Books
181521,0345408330,Twister: The Original Screenplay,Michael Crichton,1996,Ballantine Books
181721,0586034668,Nightfall One: Science Fiction Stories,Isaac Asimov,1974,HarperCollins Publishers
181724,0330260995,About Black Holes,Isaac Asimov,1980,Pan Macmillan
181761,0373104278,The Travelling Kind/Idaho,Janet Dailey,1991,Harlequin
181802,0373510071,"Night Moves #7  (Language Of Love) (Language Of Love, No 7)",Nora Roberts,1992,Silhouette
181818,0140714634,The Tragedy Of Othello The Moor Of Venice (Pelican Shakespeare),William Shakespeare,2001,Penguin Books
181936,8483070588,El Hombre Que Corrompio A Hadleyburg,Mark Twain,1998,Peninsular Publishing Company
181944,8427285493,Testigo De Cargo,Agatha Christie,1997,Downtown Book Center
181947,8427285450,La Venganza De Nofret,Agatha Christie,1997,Downtown Book Center
182000,0451133420,"Cosmic Knights (Isaac Asimov'S Magical Worlds Of Fantasy, No 3)",Isaac Asimov,1985,New Amer Library
182058,0917657675,Great Science Fiction Stories By The World'S Great Scientists,Isaac Asimov,1986,Penguin USA
182061,185487117X,The Giant Book Of Horror Stories,Stephen King,1991,Constable Robinson
182069,8401461812,Cafe Solo,Agatha Christie,1998,"Plaza &amp; Janes Editores, S.A."
182165,0140430601,Our Mutual Friend (English Library),Charles Dickens,1971,Penguin Books
182174,0195798589,Harry Potter And The Sorcerer'S Stone (Urdu Edition),J. K. Rowling,2003,Oxford University Press
182390,0330244728,Bleak House (A Pan Classic),Charles Dickens,1976,Pan Books
182492,0785813497,The Original Illustrated Mark Twain,Mark Twain,2001,Book Sales
182508,0517065045,War With The Robots: 28 Of The Best Short Stories By The Greatest Names In 20Th Century Science Fiction,Isaac Asimov,1992,Outlet Books Company
182537,0517626330,House Of The Seven Gables (Oxford Pocket Classics),Nathaniel Hawthorne,1986,Crescent
182555,0521094747,Hamlet (New Shakespeare S.),William Shakespeare,1968,Cambridge Univ Pr
182694,0752514024,Peronel'S Magic Polish,Enid Blyton,1998,Parragon Publishing
182770,3453179609,In Einer Winternacht.,Mary Higgins Clark,2000,Heyne
182930,1851705384,Works Of Oscar Wilde,Oscar Wilde,1997,Senate
183064,0553505351,Nightmare Mansion - If I Die Before I Wake (Sweet Valley Twins),Francine Pascal,1997,Random House Children's Books (A Division of Random House Group)
183071,3453177487,Atlantis,Stephen King,2001,Wilhelm Heyne Verlag
183231,3453126777,Ein Gutes Omen.,Terry Pratchett,1997,Heyne
183283,0373032633,Ties That Blind (Harlequin Romance No. 3263),Fern Michaels,1993,Harlequin
183354,038511334X,"The Comic Mark Twain Reader: The Most Humorous Selections From His Stories, Sketches, Novels, Travel Books And Lectures",Mark Twain,1977,Bantam Dell Pub Group
183361,0373610661,Orbiting Omega (Mark Bolan No 66),Don Pendleton,1984,Gold Eagle
183511,0520024788,Roughing It,Mark Twain,1972,Univ of California Pr
183570,0553268635,"Together Forever (Caitlin : Forever Trilogy, No 3)",Francine Pascal,1988,Starfire
183584,344235207X,So Hell Wie Der Mond.,Nora Roberts,1999,Goldmann
183641,0590228803,"Abby'S Lucky Thirteen (Baby-Sitters Club, 96)",Ann M. Martin,1996,Scholastic
183643,0590482262,Jessi And The Troublemaker (Baby-Sitters Club (Paperback)),Ann M. Martin,1995,Scholastic Paperbacks
183658,0590691937,"Karen'S Treasure (Baby-Sitters Little Sister, 85)",Ann M. Martin,1997,Little Apple
183660,0590691899,"Karen'S Accident (Baby-Sitters Little Sister, 81)",Ann M. Martin,1997,Scholastic
183663,0590691864,"Karen'S Half Birthday (Baby-Sitters Little Sister, 78)",Ann M. Martin,1996,Scholastic
183664,0590691848,"Karen'S Magic Garden (Baby-Sitters Little Sister, 76)",Ann M. Martin,1996,Scholastic
183667,059069183X,"Karen'S County Fair (Baby-Sitters Little Sister, 75)",Ann M. Martin,1996,Scholastic
183668,0590262149,"Karen'S Softball Mystery (Baby-Sitters Little Sister, 74)",Ann M. Martin,1996,Scholastic
183671,0590262793,"Karen'S Monsters (Baby-Sitters Little Sister, 66)",Ann M. Martin,1995,Scholastic
183673,0590259970,"Karen'S Lemonade Stand (Baby-Sitters Little Sister, 64)",Ann M. Martin,1995,Scholastic
183678,0590470477,"Karen'S Stepmother (Baby-Sitters Little Sister, 49)",Ann M. Martin,1994,Scholastic Paperbacks
183680,0590470469,"Karen'S Two Families (Baby-Sitters Little Sister, 48)",Ann M. Martin,1994,Scholastic Paperbacks (Mm)
183681,0590469134,"Karen'S Kite (Baby-Sitters Little Sister, 47)",Ann M. Martin,1994,Scholastic Paperbacks
183682,0590470450,"Karen'S Baby-Sitter (Baby-Sitters Little Sister, 46)",Ann M. Martin,1994,Scholastic
183685,0590470418,"Karen'S School (Baby-Sitters Little Sister, 41)",Ann M. Martin,1993,Scholastic
183686,0590456539,"Karen'S Tuba (Baby-Sitters Little Sister, 37)",Ann M. Martin,1993,Scholastic
183711,0590691856,"Karens School Surprise (Baby-Sitters Little Sister, 77)",Ann M. Martin,1996,Scholastic
183715,0590262807,"Karen'S Grandad (Baby-Sitters Little Sister, 70)",Ann M. Martin,1996,Scholastic
183716,0590261940,"Karen'S Island Adventure (Baby-Sitters Little Sister, 71)",Ann M. Martin,1997,Scholastic
183719,0590263013,"Karen'S Dinosaur (Baby-Sitters Little Sister, 73)",Ann M. Martin,1996,Scholastic
183726,8431641401,Romeo Y Julieta,William Shakespeare,2000,Vicens Vives
183760,0671646958,"The Black Widow Nancy Drew #28 (Nancy Drew Files Series, No 28)",Carolyn Keene,1988,Simon Pulse
183776,1569871183,David Copperfield (Illustrated Classics),Charles Dickens,1995,Landoll
183782,2221081293,Le Monde Perdu,Michael Crichton,1998,Robert Laffont
183846,0671882031,For Love Or Money : The Nancy Drew Files No 112,Carolyn Keene,1995,Simon Pulse
183854,0553213091,The Poems (Bantam Classics),William Shakespeare,1988,Bantam Books
183863,2290305553,Les Cendres D'Angela,Frank McCourt,2003,Distribooks
183930,0140621652,Martin Chuzzlewit (Penguin Popular Classics),Charles Dickens,1994,Penguin Books Ltd
184124,208070768X,Beaucoup De Bruit Pour Rien,William Shakespeare,1999,Flammarion
184197,0812523342,Tom Sawyer Abroad,Mark Twain,1993,Tor Books
184231,3895080985,The Picture Of Dorian Gray (Konemann Classics),Oscar Wilde,1996,Konemann
184243,0907785700,Pride &Amp; Prejudice (Illustrated Edition),Jane Austen,1998,"Robert Frederick, Ltd."
184273,072351366X,Christmas Carol (Classic Library),Charles Dickens,1990,Smithmark Pub
184371,0590767844,"Brain Juice (Goosebumps Series 2000, No 12)",R. L. Stine,1998,Apple (Scholastic)
184515,1853049077,Garfield Pocket Books: On The Right Track (Garfield Pocket Books),Jim Davis,1997,Ravette Publishing Ltd
184556,1566197066,A Connecticut Yankee In King Arthur'S Court (Barnes &Amp; Noble Classics),Mark Twain,1995,Barnes &amp; Noble Books
184690,0312981295,Sparkling Cyanide (St. Martin'S Minotaur Mysteries),Agatha Christie,2001,St. Martin's Minotaur
184772,0812211359,The Life And Adventures Of Nicholas Nickleby: Reproduced In Facsimile From The Original Monthly Parts Of 1838-9,Charles Dickens,1983,Univ of Pennsylvania Pr
184940,8440676336,Atrevete A Ganar,Jack Canfield,2001,Distal USA Inc
185058,0373484879,"Long, Tall Texan Weddings (Long, Tall Texans)",Diana Palmer,2001,Silhouette
185066,0679409866,Persuasion (Everyman'S Library (Cloth)),Jane Austen,1992,Alfred A. Knopf
185108,0373104820,With A Little Luck (Harlequin Presents),Janet Dailey,1982,Harlequin Books
185151,0373104758,Northern Magic (Harlequin Presents),Janet Dailey,1982,Pocket Books
185158,0373104456,"Dakota Dreamin' (Harlequin Presents, #445)",Janet Dailey,1981,Harlequin
185160,2290308366,Charlie,Stephen King,2000,J'ai lu
185226,0373071507,Treasures Lost/Found (Silhoutte Intimate Moments),Nora Roberts,1986,Silhouette
185245,0146000943,Young Goodman Brown,Nathaniel Hawthorne,1995,Viking Penguin Inc
185295,2070519201,L'Erreur De Lucy,Ann M. Martin,1999,Gallimard
185303,037305193X,Cattleman'S Choice (Silhouette Desire),Diana Palmer,1985,Silhouette
185375,2070513742,James Et La Grosse Peche,Roald Dahl,2002,Contemporary French Fiction
185412,2226071431,Les Yeux Du Dragon,Stephen King,2000,Albin Michel
185540,067157177X,"The Second Time (Silhouette Romance, #177)",Janet Dailey,1982,Silhouette
185591,0373103999,One Of The Boys,Janet Dailey,1980,Harlequin Presents
185660,0671572318,"Western Man (Silhouette Romance, #231)",Janet Dailey,1983,Silhouette
185681,0439083249,Everything Changes (Baby-Sitters Club Friends Forever Special),Ann M. Martin,1999,Scholastic
185906,2922148289,"Garfield Gets Around (Garfield Games &Amp; Sticker Fun, #4)",Jim Davis,1998,Presses Aventure
186080,2012002072,Oui-Oui Et Son Grelot,Enid Blyton,2000,Hachette LittÃ?Â©rature
186239,2253028932,Cinq Heures Vingt-Cinq,Agatha Christie,2001,LGF
186278,0425067998,Osi Poirot,Agatha Christie,1987,Berkley Publishing Group
186301,067102034X,The Hardy Boys Casefiles Collector'S Edition : (48 Rock 'N' Revenge/ 51 Choke Hold/ 52 Uncivil War) (Hardy Boys Casefiles Collector'S Edition),Franklin W. Dixon,1998,Simon Pulse
186311,0671443690,The Cowboy And The Lady,Diana Palmer,1982,Pocket Books (Mm)
186314,0590237950,"More &Amp; More Tales To Give You Goosebumps: Ten Spooky Tales  (Goosebumps Book &Amp; Cap Special Edition, No 5)",R. L. Stine,1997,Scholastic Paperbacks (T)
186480,0373092717,Summer Desserts (Silhouette Special Edition No. 271),Nora Roberts,1985,Silhouette
186567,037315190X,The Lancaster Men (Promo Series : No 190),Janet Dailey,1991,Harlequin Sales Corp (Mm)
186596,067157213X,"Separate Cabins (Silhouette Romance, #213)",Janet Dailey,1983,Silhouette
186671,1551111314,Persuasion (Broadview Literary Texts),Jane Austen,1998,Broadview Press
186673,0345273532,Captive Embraces,Fern Michaels,1979,Not Avail
186764,0743518446,Pet Sematary (Bbc Radio Presents),Stephen King,2001,Simon &amp; Schuster Audio
186815,0345256107,Sea Siren,Fern Michaels,1977,Ballantine Books
186818,0140187421,Burning Bright: A Play In Story Form (Penguin Twentieth Century Classics),John Steinbeck,1994,Penguin Books
186825,0515031747,A Light To The Heart,Barbara Cartland,1973,Pyramid
186871,0812530721,Alien Plot,Piers Anthony,1993,Tor Books
186873,0345434587,The Tenth Garfield Fat Cat 3-Pack: Garfield Life In The Fat Lane (#28); Garfield Tons Of Fun (#29); Garfield  Bigger And Better (#30) (Garfield Fat Cat Three Pack),Jim Davis,1999,Ballantine Books
186913,0345317157,Indiana Jones And The Giants Of The Silver Tower (Find Your Fate Adventure Series: No. 3),R. L. Stine,1994,Ballantine Books
186957,0174436289,Poems (Arden Shakespeare Second (Paperback)),William Shakespeare,1963,Arden Shakespeare
187037,067164694X,"Most Likely To Die (Nancy Drew Case File, No. 27)",Carolyn Keene,1988,Pocket Books
187100,0141180196,A Russian Journal (Penguin Twentieth-Century Classics),John Steinbeck,1999,Penguin Books
187256,0060012382,The Wee Free Men,Terry Pratchett,2004,HarperTrophy
187265,0812534905,Tales From The Great Turtle,Piers Anthony,1995,Tor Books (Mm)
187297,3502508097,Vergessliche Morderin/Third Girl,Agatha Christie,1994,Distribooks Inc
187298,3596506859,Das Fehlende Glied In Der Kette. Sonderausgabe.,Agatha Christie,2003,"Fischer (Tb.), Frankfurt"
187311,342370747X,Die Insel Der Abenteuer. ( Ab 10 J.).,Enid Blyton,2003,Dtv
187427,0812035704,The Merchant Of Venice: Modern English Version Side-By-Side With Full Original Text (Shakespeare Made Easy),William Shakespeare,1985,Barron's Educational Series
187617,0345318080,Centaur Aisle #04,Piers Anthony,1983,Del Rey Books
187731,1555211623,William Shakespeare: Complete Works,William Shakespeare,1989,Book Sales
187885,0671219421,Where Are Children (A Simon And Schuster Novel Of Suspense),Mary Higgins Clark,1975,Simon &amp; Schuster
187896,0788789538,"The Fellowship Of The Ring (The Lord Of The Rings, Book 1)",J. R. R. Tolkien,2000,Recorded Books
188363,0385189346,"The Hugo Winners, Volume 4: Thirteen Prizewinning Stories (1976 - 1979)",Isaac Asimov,1985,Doubleday Books
188390,156895963X,Angela'S Ashes (Wheeler Large Print Press (Large Print Paper)),Frank McCourt,1999,Large Print Press
188429,0679405712,David Copperfield (Everyman'S Library),Charles Dickens,1991,Unknown Publisher - Being Researched
188483,0451523121,"Henry Vi, Parts I, Ii, And Iii: With New Dramatic Criticism And An Updated Bibliography (Henry Vi, Ii &Amp; Iii)",William Shakespeare,1993,Signet Classics
188555,0553151673,Twits,Roald Dahl,1982,Bantam Books
188609,0749312475,The Queen Of Hearts,Barbara Cartland,1992,Mandarin
188691,0517626349,Great Expectations (Oxford Pocket Classics),Charles Dickens,1986,Crescent
188780,1558744045,Best Of 3Rd Serving Of Chicken Soup For The Soul,Jack Canfield,1996,Health Communications
188782,1558743723,The Best Of The Original Chicken Soup For The Soul: Stories To Open The Heart And Rekindle The Spirit,Jack Canfield,1995,Health Communications
188874,0380818469,Acorna'S Search,Anne McCaffrey,2002,HarperTorch
188893,0671021737,"Danger In The Extreme (Hardy Boys, The)",Franklin W. Dixon,1998,Aladdin
188938,061321546X,Five Patients: The Hospital Explained,Michael Crichton,2000,Econo-Clad Books
188957,0373218559,The Macgregor Grooms,Nora Roberts,2002,Silhouette
188964,0385036736,A Short History Of Chemistry,Isaac Asimov,1965,Bantam Dell Pub Group
189032,0940450070,"Mark Twain : Mississippi Writings : Tom Sawyer, Life On The Mississippi, Huckleberry Finn, Pudd'Nhead Wilson (Library Of America)",Mark Twain,1982,Library of America
189293,059043828X,Ma And Pa Dracula,Ann M. Martin,1991,Scholastic Paperbacks (Mm)
189317,0192545140,Christmas Books (The Oxford Illustrated Dickens),Charles Dickens,1987,Oxford University Press
189339,8401474698,La Larga Marcha,Stephen King,1998,"Plaza &amp; Janes Editores, S.A."
189383,0330029487,Mansfield Park; (Pan Classics),Jane Austen,1972,Pan Books
189389,0330029495,Sense And Sensibility; (Pan Classics),Jane Austen,1972,Pan Books
189412,0802765335,"How Did We Find Out About Computers (Asimov, Isaac, How Did We Find Out--Series.)",Isaac Asimov,1984,Walker &amp; Company
189422,0003252531,Macbeth (The Alexander Shakespeare),William Shakespeare,1973,Collins
189429,0415027047,The Tempest (Arden Shakespeare),William Shakespeare,1994,Van Nostrand Reinhold
189443,0091729394,Julius Caesar: Shakespeare Made Easy (Shakespeare Made Easy),William Shakespeare,1984,Learning Links
189500,0670891843,Skin And Other Stories,Roald Dahl,2000,Viking Juvenile
189654,1561387150,Oliver Twist (Giant Literary Classics),Charles Dickens,1996,Courage Books
189785,1931082103,The Gilded Age And Later Novels (Library Of America),Mark Twain,2002,Library of America
189790,0940450364,"Mark Twain: Collected Tales, Sketches, Speeches &Amp; Essays, 1852-1890 (Library Of America)",Mark Twain,1992,Library of America
189819,0895776286,Roughing It (The World'S Best Reading),Mark Twain,1994,Reader's Digest Association
189857,0373073135,"Time Was (Silhouette Intimate Moments, No 313)",Nora Roberts,1989,Silhouette
190018,0345336550,End Of Eternity (R),Isaac Asimov,1986,Del Rey Books
190031,1561007382,Daring To Dream (Bookcassette(R) Edition),Nora Roberts,1996,Brilliance Audio - Trade
190146,0671039539,Killer,Francine Pascal,2000,Simon Pulse
190248,0440189993,Tragedy Of The Moon,Isaac Asimov,1984,Bantam Books (Mm)
190346,0671742868,Ride The Thunder,Janet Dailey,1991,Pocket
190401,0582418178,The Body (Penguin Readers: Level 5),Stephen King,1999,Penguin Longman Publishing
190420,0727855956,Shadow Watch (Tom Clancy'S Power Plays),Tom Clancy,2000,Severn House Publishers
190490,0831743840,Dragon Tears-22.95,Dean R. Koontz,1994,Smithmark Publishers
190497,0606192921,Tick-Tock,Dean R. Koontz,2001,Turtleback Books Distributed by Demco Media
190605,0441631215,Only A Trillion,Isaac Asimov,1980,Ace Books
190617,0373482388,Nora Roberts  (Reissue) (2 Books In 1),Nora Roberts,1991,Silhouette
190640,0396091628,The Murder On The Links,Agatha Christie,1987,Putnam Publishing Group
190680,0373510306,"Second Nature #30 (Nora Roberts : Language Of Love, No 30)",Nora Roberts,1993,Silhouette
190696,037309583X,"Taming Natasha (Silhouette Special Edition, 583)",Nora Roberts,1990,Silhouette
190698,0373096259,"Without A Trace (Harlequin Special Edition, No 625)",Nora Roberts,1990,Silhouette
190752,3426609738,Das Schwert Des Chaos. Ein Darkover- Lesebuch.,Marion Zimmer Bradley,2001,Droemer Knaur
190948,0373032757,"Lake Effect (Harlequin Romance, No 3275)",Fern Michaels,1993,Harlequin
190969,0373704127,"Blessing In Disguise (Harlequin Superromance, No 412)",Fern Michaels,1990,Harlequin
191055,0590065882,"Karen'S Haunted House (Baby-Sitters Little Sister, 90)",Ann M. Martin,1997,Scholastic
191058,0590500627,"Karen'S Swim Meet (Baby-Sitters Little Sister, 110)",Ann M. Martin,1999,Little Apple Books (Scholastic)
191104,0590500538,"Karen'S Chain Letter (Baby-Sitters Little Sister, 101)",Ann M. Martin,1998,Scholastic
191106,0590523562,Baby-Sitters Little Sister #111: Karen'S Spy Mystery,Ann M. Martin,1999,Little Apple
191108,0590065920,"Karen'S Snow Princess (Baby-Sitters Little Sister, 94)",Ann M. Martin,1998,Scholastic
191111,059049760X,"Karen'S Big City Mystery (Baby-Sitters Little Sister, 99)",Ann M. Martin,1998,Little Apple
191113,0590060015,"Halloween Parade (Kids In Ms. Colman'S Class , No 9)",Ann M. Martin,1997,Scholastic
191393,0373614853,Mack Bolan: Breakaway,Don Pendleton,2002,Gold Eagle
191466,0671669222,Four Comedies(Folger Library General Reader'S Shakespeare),William Shakespeare,1983,Pocket Books
191468,8466306625,Joyas Del Sol (Jewels Of The Sun),Nora Roberts,2002,Santillana (AR)
191487,0804115710,Adventures Of Huckleberry Finn: The Only Comprehensive Editions,Mark Twain,1997,Ivy Books
191504,3453189949,Die Halloween- Party.,R. L. Stine,2001,Heyne
191670,185304105X,Garfield Pocket Books: Happy Landings (Garfield Pocket Books),Jim Davis,1989,Ravette Publishing Ltd
191673,1853041041,Garfield Pocket Books: On Top Of The World (Garfield Pocket Books),Jim Davis,1989,Ravette Publishing Ltd
191675,1853040428,Garfield Pocket Books: Plays It Again (Garfield Pocket Books),Jim Davis,1988,Ravette Publishing Ltd
191676,1853041912,Garfield Pocket Books: Great Impressions (Garfield Pocket Books),Jim Davis,1992,Ravette Publishing Ltd
191753,0345432398,Garfield: Life To The Fullest (Garfield (Numbered Paperback)),Jim Davis,1999,Ballantine Books
191816,0553212907,As You Like It (Bantam Classics),William Shakespeare,1988,Bantam
192260,0590523139,"Kristy'S Big News (Baby-Sitters Club Friends Forever, 1)",Ann M. Martin,1999,Scholastic
192315,0425067971,The Patriotic Murders,Agatha Christie,1984,Berkley Publishing Group
192318,0749707615,Amelia Jane Again! (Amelia Jane Stories),Enid Blyton,1992,Egmont Childrens Books
192378,0590673947,"Claudia And The Sad Good-Bye (Baby-Sitters Club, 26)",Ann M. Martin,1996,Scholastic
192379,0590605348,"Stacey'S Mistake (The Baby-Sitters Club, 18)",Ann M. Martin,1996,Scholastic
192383,0743509862,Hearts In Atlantis (Mti),Stephen King,2001,Simon &amp; Schuster Audio
192401,0590731904,"Claudia And The Great Search (Baby-Sitters Club, 33)",Ann M. Martin,1990,Scholastic
192408,0590251694,"Hello, Mallory (Baby-Sitters Club, 14)",Ann M. Martin,1996,Scholastic
192416,0671649620,The Clue In The Camera (Nancy Drew 82) : The Clue In The Camera (Nancy Drew No 82),Carolyn Keene,1988,Aladdin
